2022-04-15 13:14:10.7068 INFO: Движение к началу трека
2022-04-15 13:14:10.8338 INFO: Движение к началу трека
2022-04-15 13:14:10.9058 INFO: Движение к началу трека
2022-04-15 13:14:11.0088 INFO: Движение к началу трека
2022-04-15 13:14:11.1518 INFO: Движение к началу трека
2022-04-15 13:14:11.2318 INFO: Движение к началу трека
2022-04-15 13:14:11.3118 INFO: Движение к началу трека
2022-04-15 13:14:11.4058 INFO: Движение к началу трека
2022-04-15 13:14:11.5048 INFO: Движение к началу трека
2022-04-15 13:14:11.6048 INFO: Движение к началу трека
2022-04-15 13:14:11.7178 INFO: Движение к началу трека
2022-04-15 13:14:11.8059 INFO: Движение к началу трека
2022-04-15 13:14:11.9068 INFO: Движение к началу трека
2022-04-15 13:14:12.0058 INFO: Движение к началу трека
2022-04-15 13:14:12.1058 INFO: Движение к началу трека
2022-04-15 13:14:12.2048 INFO: Движение к началу трека
2022-04-15 13:14:12.3048 INFO: Движение к началу трека
2022-04-15 13:14:12.4048 INFO: Движение к началу трека
2022-04-15 13:14:12.5048 INFO: Движение к началу трека
2022-04-15 13:14:12.6048 INFO: Движение к началу трека
2022-04-15 13:14:12.7058 INFO: Движение к началу трека
2022-04-15 13:14:12.8049 INFO: Движение к началу трека
2022-04-15 13:14:12.9038 INFO: Остановка движения по треку
2022-04-15 13:14:14.4168 INFO: Движение к началу трека
2022-04-15 13:14:14.5518 INFO: Движение к началу трека
2022-04-15 13:14:14.6108 INFO: Движение к началу трека
2022-04-15 13:14:14.7198 INFO: Движение к началу трека
2022-04-15 13:14:14.8048 INFO: Движение к началу трека
2022-04-15 13:14:14.9169 INFO: Движение к началу трека
2022-04-15 13:14:15.0048 INFO: Движение к началу трека
2022-04-15 13:14:15.1048 INFO: Движение к началу трека
2022-04-15 13:14:15.2048 INFO: Движение к началу трека
2022-04-15 13:14:15.3050 INFO: Движение к началу трека
2022-04-15 13:14:15.4040 INFO: Движение к началу трека
2022-04-15 13:14:15.5050 INFO: Движение к началу трека
2022-04-15 13:14:15.6048 INFO: Движение к началу трека
2022-04-15 13:14:15.7058 INFO: Движение к началу трека
2022-04-15 13:14:15.8058 INFO: Движение к началу трека
